ZIPCODE,AREA,SHAPE_ar_1,ParkInZipA,Error
10463,36703381.51,5389.936511,4378.700195,1011
10463,36703381.51,28821.38781,28821.40039,0
10463,36703381.51,4892.821218,440.7869873,4452
10475,38633296.93,440243.0693,440243,0
10475,38633296.93,147354.0553,142551,4803
10475,38633296.93,120737314.1,2301590,118435724
10475,38633296.93,4708297.811,820352,3887946
10464,76257484.9,120737314.1,73055200,47682114
10469,68040887.07,69783.77641,69783.79688,0
10469,68040887.07,46477.12091,46488.60156,-11
10469,68040887.07,66951.41447,66951.39844,0
10469,68040887.07,71074.84382,71074.79688,0
10469,68040887.07,73410.0714,73410.10156,0
10469,68040887.07,2911325.779,1200140,1711186
10469,68040887.07,399350.4845,399351,-1
10469,68040887.07,50467.09584,50467.10156,0
10469,68040887.07,120737314.1,444289,120293025
10469,68040887.07,4708297.811,941880,3766418
10468,34447604.67,42517.15908,42517.19922,0
10468,34447604.67,91450.23934,91450.20313,0
10468,34447604.67,1535.658017,1535.660034,0
10468,34447604.67,4847.241304,4847.240234,0
10468,34447604.67,237708.8615,237709,0
10468,34447604.67,195717.1895,195717,0
10468,34447604.67,3999.49718,3999.5,0
10468,34447604.67,637345.3655,637345,0
10468,34447604.67,36543.1678,36489.39844,54
10468,34447604.67,22831.43861,22831.40039,0
10468,34447604.67,506776.056,506776,0
10468,34447604.67,184876.1597,184876,0
10468,34447604.67,118819.1109,69416,49403
10468,34447604.67,208688.352,208688,0
10468,34447604.67,3103.994574,3103.98999,0
10468,34447604.67,141635.3557,141093,542
10468,34447604.67,5389.936511,1011.23999,4379
10468,34447604.67,359292.6852,108666,250627
10463,3119701.913,79655.68346,29930.09961,49726
10458,35968812.9,5079.670769,5079.669922,0
10458,35968812.9,8766.64726,8766.650391,0
10458,35968812.9,34833.33405,34833.30078,0
10458,35968812.9,9318.787828,9318.790039,0
10458,35968812.9,22738.88171,22738.90039,0
10458,35968812.9,7984.965616,7985,0
10458,35968812.9,34848.18324,34848.19922,0
10458,35968812.9,5064.991805,5064.990234,0
10458,35968812.9,3401.671981,3401.669922,0
10458,35968812.9,40658.20853,40658.19922,0
10458,35968812.9,6066.30276,6066.299805,0
10458,35968812.9,6025.6909,6025.689941,0
10458,35968812.9,38332.23993,38332.19922,0
10458,35968812.9,99358.02442,99358,0
10458,35968812.9,2441282.411,886413,1554869
10458,35968812.9,29159312.98,7311610,21847703
10458,35968812.9,5047.149163,5047.149902,0
10034,24503892.12,7911.106664,7911.109863,0
10034,24503892.12,7288873.625,292395,6996479
10034,24503892.12,8463262.706,7634080,829183
10034,24503892.12,868090.9013,868091,0
10034,24503892.12,23710.63254,23710.59961,0
10034,24503892.12,8034.037457,8034.040039,0
10034,24503892.12,41681.15913,41681.19922,0
10033,16156054.17,177109.6723,80013.60156,97096
10033,16156054.17,16651.90069,16651.90039,0
10033,16156054.17,4733.908074,4733.910156,0
10033,16156054.17,34007.22802,34007.19922,0
10033,16156054.17,5667140.755,608378,5058763
10033,16156054.17,291980.9999,291981,0
10033,16156054.17,2055946.326,125853,1930093
10033,16156054.17,7288873.625,2128730,5160144
10033,16156054.17,79363.17835,79363.20313,0
10033,16156054.17,3693.231043,3693.229981,0
10033,16156054.17,5182.300207,5182.299805,0
10462,53022513.78,2516.449049,2516.449951,0
10462,53022513.78,45343.13336,45343.10156,0
10462,53022513.78,16643.899,16643.90039,0
10462,53022513.78,2911325.779,341108,2570218
10462,53022513.78,96740.21679,96740.20313,0
10462,53022513.78,6276.817865,6277.439941,-1
10462,53022513.78,19837.57232,19837.59961,0
10462,53022513.78,42537.60036,7062.939941,35475
10462,53022513.78,21316.28692,21316.30078,0
10462,53022513.78,19680.53569,19680.5,0
10462,53022513.78,42436.17456,42436.19922,0
10462,53022513.78,76671.59336,76671.60156,0
10462,53022513.78,66196.97829,16755.30078,49442
10462,53022513.78,29159312.98,11929800,17229513
10462,53022513.78,4708297.811,20.7474995,4708277
10040,16340742.8,177109.6723,97096,80014
10040,16340742.8,38663.29421,38663.30078,0
10040,16340742.8,1210.966944,1210.969971,0
10040,16340742.8,17723.35467,17723.40039,0
10040,16340742.8,5667140.755,2284970,3382171
10040,16340742.8,2055946.326,701839,1354107
10040,16340742.8,684277.5987,319970,364308
10040,16340742.8,3076288.557,3076290,-1
10040,16340742.8,77197.74607,77197.70313,0
10453,25748509.27,20717.32665,20717.30078,0
10453,25748509.27,26156.62534,26156.59961,0
10453,25748509.27,2018.776366,2018.780029,0
10453,25748509.27,206887.5145,117180,89708
10453,25748509.27,78439.08676,78439.10156,0
10453,25748509.27,14447.9934,14448,0
10453,25748509.27,30469.63097,30469.59961,0
10453,25748509.27,32849.47327,32849.5,0
10453,25748509.27,32387.41911,32387.40039,0
10453,25748509.27,28134.30739,28134.30078,0
10453,25748509.27,5393.091956,2637.629883,2755
10453,25748509.27,23379.66567,23379.69922,0
10453,25748509.27,7186.319871,7186.319824,0
10453,25748509.27,1604.674894,1604.670044,0
10453,25748509.27,1604.877719,1604.880005,0
10453,25748509.27,12551.80947,12551.7998,0
10453,25748509.27,2334.009143,2334.01001,0
10453,25748509.27,20063.45683,20063.5,0
10453,25748509.27,15188.36391,15188.40039,0
10453,25748509.27,16812.32498,16812.30078,0
10453,25748509.27,9361.930475,9361.929688,0
10453,25748509.27,13397.3658,13397.40039,0
10453,25748509.27,44962.57986,44962.60156,0
10453,25748509.27,8823.852638,8823.849609,0
10453,25748509.27,141635.3557,542.809021,141093
10453,25748509.27,2720.78174,2720.780029,0
10453,25748509.27,359292.6852,250627,108666
10465,108423743.4,3011.631725,1042.410034,1969
10465,108423743.4,894727.2553,574152,320575
10465,108423743.4,365.8082343,365.8080139,0
10465,108423743.4,129476.8348,129477,0
10465,108423743.4,414475.0582,414475,0
10465,108423743.4,342.4756793,342.4760132,0
10465,108423743.4,304963.4603,117271,187692
10465,108423743.4,5088.835576,5088.839844,0
10465,108423743.4,42726.19009,42726.19922,0
10465,108423743.4,19343304.81,14070500,5272805
10465,108423743.4,120737314.1,12356700,108380614
10465,108423743.4,4708297.811,1183420,3524878
10464,11587953.83,263831.2642,143131,120700
10464,11587953.83,6304.413095,6304.410156,0
10464,11587953.83,237225.2154,4858.609863,232367
10461,62824057.57,29495.9308,29495.90039,0
10461,62824057.57,5099.653983,5099.649902,0
10461,62824057.57,83221.04157,83221,0
10461,62824057.57,1955.061901,1955.060059,0
10461,62824057.57,9026.061766,9026.05957,0
10461,62824057.57,47677.25868,47677.30078,0
10461,62824057.57,2911325.779,1003150,1908176
10461,62824057.57,95994.18425,95994.20313,0
10461,62824057.57,174953.8738,174954,0
10461,62824057.57,20000.94214,20000.90039,0
10461,62824057.57,61614.85617,61614.89844,0
10461,62824057.57,61925.88258,61925.89844,0
10461,62824057.57,120737314.1,391765,120345549
10461,62824057.57,4708297.811,1762540,2945758
10457,37640607.38,21137.836,21137.80078,0
10457,37640607.38,22031.29582,22031.30078,0
10457,37640607.38,1622.341099,1622.339966,0
10457,37640607.38,741.9095036,741.9089966,0
10457,37640607.38,14235.51398,14235.5,0
10457,37640607.38,23927.93299,23927.90039,0
10457,37640607.38,5485619.444,4542260,943359
10457,37640607.38,5686.819013,5686.819824,0
10457,37640607.38,654732.618,654733,0
10457,37640607.38,2033.508841,2033.51001,0
10457,37640607.38,22473.12593,22473.09961,0
10457,37640607.38,39099.59475,39099.60156,0
10457,37640607.38,25459.28549,25459.30078,0
10457,37640607.38,33229.83324,33229.80078,0
10457,37640607.38,13466.80471,13466.7998,0
10457,37640607.38,62652.04874,62652,0
10457,37640607.38,56740.61759,56740.60156,0
10457,37640607.38,1071.098719,1071.099976,0
10457,37640607.38,4776.324583,4771.720215,5
10457,37640607.38,5320.133906,5320.379883,0
10457,37640607.38,4474.084142,4474.180176,0
10457,37640607.38,192037.8359,192038,0
10457,37640607.38,95647.67514,95647.70313,0
10457,37640607.38,112824.6524,85310.79688,27514
10457,37640607.38,592.6307244,166.151001,426
10457,37640607.38,70401.4267,65911.10156,4490
10457,37640607.38,27206.88517,27206.90039,0
10457,37640607.38,191999.7914,192000,0
10457,37640607.38,281.2436742,281.2539978,0
10457,37640607.38,1578.275437,1578.280029,0
10457,37640607.38,6024.098557,6024.100098,0
10457,37640607.38,11337.25701,11337.2998,0
10457,37640607.38,7480.862401,7480.859863,0
10457,37640607.38,4584.27047,4584.27002,0
10457,37640607.38,1667551.554,1667550,2
10457,37640607.38,8015.310395,8015.310059,0
10457,37640607.38,9255.160004,9255.160156,0
10460,35155666.65,2532.864055,2532.860107,0
10460,35155666.65,35254.8764,35254.89844,0
10460,35155666.65,2086.742169,2086.73999,0
10460,35155666.65,8886.073304,8886.070313,0
10460,35155666.65,38432.31712,38432.30078,0
10460,35155666.65,6288012.279,183045,6104967
10460,35155666.65,139994.6353,139995,0
10460,35155666.65,7261.477734,7261.479981,0
10460,35155666.65,5485619.444,155840,5329779
10460,35155666.65,4680.77605,4680.77002,0
10460,35155666.65,7822.591659,7822.569824,0
10460,35155666.65,304.3231755,304.322998,0
10460,35155666.65,1733.468102,1733.469971,0
10460,35155666.65,2214.382681,2214.379883,0
10460,35155666.65,21705.00987,21705,0
10460,35155666.65,1398.24837,1398.25,0
10460,35155666.65,29409.61792,29409.59961,0
10460,35155666.65,1511.18566,1511.189941,0
10460,35155666.65,82451.34752,82451.29688,0
10460,35155666.65,30828.75955,30828.80078,0
10460,35155666.65,5119.168159,5119.169922,0
10460,35155666.65,15302.81258,15302.7998,0
10460,35155666.65,156459.5359,156460,0
10460,35155666.65,20232.59186,20232.59961,0
10460,35155666.65,7482.985922,7482.990234,0
10460,35155666.65,88856.66804,62083.10156,26774
10460,35155666.65,8218.824725,8218.830078,0
10460,35155666.65,4800.99186,4800.990234,0
10460,35155666.65,29159312.98,6418880,22740433
10460,35155666.65,40064.13874,40064.10156,0
10460,35155666.65,4693.044774,4693.040039,0
10032,23159566.09,15018.27313,15018.2998,0
10032,23159566.09,7043.545346,7043.549805,0
10032,23159566.09,68435.63305,68435.60156,0
10032,23159566.09,2755.051256,2755.050049,0
10032,23159566.09,5667140.755,2635440,3031701
10032,23159566.09,62853.28704,62853.30078,0
10032,23159566.09,101855.1596,14600.40039,87255
10032,23159566.09,51700.08167,51700.10156,0
10032,23159566.09,67999.74906,67999.79688,0
10032,23159566.09,33141.3991,33141.39844,0
10032,23159566.09,30146.13796,30146.09961,0
10032,23159566.09,33196.04801,33196,0
10032,23159566.09,906257.5397,673317,232941
10032,23159566.09,2055946.326,728509,1327437
10032,23159566.09,7288873.625,3013050,4275824
10032,23159566.09,4251.418059,4251.419922,0
10032,23159566.09,4171.804501,4171.799805,0
10032,23159566.09,26409.27683,26409.30078,0
10452,27550385.85,31678.29017,31678.30078,0
10452,27550385.85,1899411.157,1011330,888081
10452,27550385.85,206887.5145,40799.10156,166088
