zipcode,medianhhincome,employees,payroll,establishments
11217,78591,15088.0,589896.0,1243.0
10309,86759,8703.0,317666.0,746.0
10308,90196,2200.0,56903.0,417.0
10307,86011,1574.0,50613.0,270.0
10306,77720,10660.0,292266.0,1106.0
10305,66478,13358.0,663763.0,845.0
10304,51852,5237.0,188040.0,639.0
10303,50137,5470.0,242703.0,389.0
10302,56883,4845.0,196798.0,415.0
10301,54792,7567.0,241178.0,675.0
10028,107976,21261.0,1168628.0,1908.0
10029,31254,24697.0,1645908.0,1035.0
10026,42058,2798.0,84881.0,455.0
10027,35694,40018.0,2135055.0,965.0
10024,110091,19519.0,789282.0,1966.0
10025,68463,21836.0,1007483.0,2052.0
10022,106888,128871.0,20186272.0,6421.0
10023,105311,41787.0,2498714.0,2280.0
10020,,32509.0,6226592.0,744.0
10021,106236,63457.0,4782849.0,3269.0
11429,70478,2355.0,88456.0,225.0
11219,34590,31569.0,1222037.0,2696.0
10169,,4449.0,547975.0,174.0
10003,91767,81000.0,5244723.0,4214.0
11230,42568,21815.0,571833.0,1999.0
11428,69758,2155.0,63214.0,305.0
11581,102135,8403.0,252928.0,691.0
11421,57091,2105.0,57808.0,504.0
11420,60603,4428.0,121257.0,426.0
11423,61948,2964.0,105244.0,352.0
11422,85151,2405.0,83691.0,294.0
11425,,4.0,136.0,3.0
11424,,0.0,1099.0,4.0
11427,70438,2541.0,109680.0,245.0
11426,78415,1784.0,60520.0,266.0
10152,,1765.0,551880.0,66.0
10153,,6198.0,1368831.0,120.0
10154,,6216.0,1124769.0,82.0
10310,62457,6833.0,298136.0,495.0
10311,,227.0,14004.0,19.0
10312,87426,5214.0,152363.0,864.0
10314,79820,20536.0,701722.0,1818.0
11359,,195.0,6718.0,10.0
11231,71999,9799.0,402566.0,1093.0
10162,165917,166.0,5269.0,21.0
11238,64981,7535.0,259363.0,938.0
11239,24640,3149.0,92874.0,74.0
10019,80519,136659.0,17441129.0,4833.0
10018,87813,126716.0,9874383.0,6691.0
10271,,3823.0,406406.0,97.0
10013,68790,73621.0,6381052.0,5374.0
10012,77853,55169.0,2920888.0,2951.0
10011,101515,64288.0,4399264.0,3841.0
10010,95556,68812.0,8044200.0,3068.0
10017,108250,134222.0,19166152.0,5034.0
10016,101979,109134.0,8483270.0,5933.0
11236,60758,11342.0,410618.0,997.0
10014,105144,42074.0,2571695.0,2506.0
11693,50006,1175.0,35819.0,129.0
11432,50130,14826.0,544359.0,1269.0
11433,43419,3881.0,183199.0,307.0
11430,,33101.0,1487092.0,314.0
11436,60820,926.0,27226.0,95.0
11694,73893,2373.0,77181.0,326.0
11434,57393,11150.0,461016.0,962.0
11435,53914,6692.0,257002.0,847.0
10004,127281,53145.0,9670296.0,1442.0
10005,120729,39015.0,5947321.0,1273.0
10006,115787,19470.0,2130252.0,850.0
10007,210125,27044.0,2299621.0,1400.0
10001,76138,142704.0,8118354.0,7235.0
10002,32265,20723.0,585960.0,2954.0
10168,,3750.0,289544.0,199.0
10167,,3741.0,913545.0,129.0
11692,39817,1335.0,50989.0,95.0
10165,,3133.0,254882.0,372.0
10009,59034,9400.0,378053.0,1176.0
10279,,1314.0,132789.0,136.0
10278,,585.0,33240.0,11.0
10475,45460,9767.0,334343.0,365.0
10474,23297,13380.0,735632.0,644.0
10471,71286,8098.0,300530.0,424.0
10470,56058,2399.0,94796.0,291.0
10473,37616,5457.0,208033.0,359.0
10472,31594,3461.0,103718.0,543.0
11691,38631,9337.0,332139.0,488.0
11361,72837,11871.0,346551.0,1016.0
11226,40146,8964.0,255714.0,1229.0
10075,100206,6470.0,361026.0,824.0
10170,,5784.0,602193.0,295.0
10171,,2168.0,726601.0,54.0
10172,,4818.0,1040232.0,75.0
10173,,1329.0,192945.0,62.0
10174,,3465.0,340728.0,131.0
10177,,1493.0,289827.0,58.0
10466,44038,6289.0,212459.0,599.0
10467,35358,26642.0,2030157.0,1058.0
10464,61063,1253.0,35900.0,141.0
10465,63352,8639.0,456505.0,504.0
10462,46001,13827.0,534122.0,1034.0
10463,53282,10261.0,334489.0,1059.0
10460,22625,5593.0,206410.0,536.0
10461,50329,18840.0,897472.0,1230.0
10468,32985,8026.0,263546.0,822.0
10469,55724,7817.0,268267.0,652.0
11411,81390,1287.0,37730.0,135.0
11412,71292,1560.0,41697.0,243.0
11413,77739,5043.0,193675.0,461.0
11414,65295,3198.0,88793.0,434.0
11415,60287,4105.0,130915.0,425.0
11416,55225,6595.0,359625.0,404.0
11417,61284,4452.0,99429.0,393.0
11418,58965,12973.0,577857.0,733.0
11419,53815,3349.0,89867.0,703.0
11367,52199,4814.0,129752.0,622.0
11373,44964,16937.0,611814.0,1554.0
