block,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
7028    ,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
7027    ,0,1,1,0,2,0,0,1,0,0,2,1,2,3,2,0,2,1,1,2,0,0,0
7026    ,1,2,5,0,1,1,3,0,8,3,3,7,12,3,5,0,3,2,1,5,4,3,4
7025    ,0,2,0,0,0,0,0,0,1,2,2,0,1,0,1,1,0,0,3,0,1,0,0
7024    ,1,0,0,1,1,1,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,0,3
7023    ,2,2,4,1,0,1,2,1,3,3,3,3,3,7,3,2,1,2,0,1,2,2,1
7022    ,9,2,3,2,0,1,2,1,7,3,2,1,1,0,1,0,0,0,0,0,0,0,0
7021    ,22,21,16,6,10,4,6,13,17,19,9,14,15,15,13,7,7,5,1,4,2,3,4
7020    ,3,3,0,2,1,0,0,6,8,4,2,2,4,2,4,1,0,0,0,0,3,3,2
7019    ,6,3,3,11,7,4,5,7,10,5,8,5,11,4,6,1,1,2,2,1,1,0,2
7018    ,6,10,7,8,4,3,1,7,7,11,9,7,16,10,16,5,5,2,2,4,4,1,4
7017    ,7,14,11,12,3,4,0,8,5,7,15,16,29,16,25,8,13,3,13,8,3,4,8
7016    ,15,24,14,9,8,3,3,13,18,20,17,29,25,33,25,12,14,8,2,13,15,12,4
7015    ,18,23,21,16,8,3,8,16,26,21,29,26,29,32,27,8,7,8,7,11,7,12,10
7014    ,20,21,33,9,6,3,5,11,11,15,26,29,19,18,15,3,13,4,5,7,7,7,6
7013    ,17,22,46,22,9,4,4,24,16,20,33,40,40,28,25,7,13,8,9,12,12,10,10
7012    ,15,30,33,19,10,3,10,16,15,19,22,39,45,28,16,8,13,9,14,12,16,11,4
7011    ,19,33,44,29,15,8,6,10,22,35,27,47,52,40,30,9,13,17,8,23,22,19,17
7010    ,61,49,42,35,16,14,7,21,32,59,47,54,64,70,44,12,19,11,11,24,15,27,12
7009    ,18,37,31,30,13,4,5,17,29,33,35,45,40,47,40,16,20,8,14,28,7,12,22
7008    ,28,43,32,33,17,8,6,26,52,27,38,46,55,51,57,20,31,8,11,26,11,9,13
7007    ,43,56,53,31,15,15,4,20,47,39,37,54,62,58,40,16,27,16,23,22,21,16,18
7006    ,44,62,70,46,31,11,9,27,63,55,63,71,71,80,71,25,35,16,27,25,23,26,22
7005    ,57,78,68,57,26,17,13,35,78,61,85,98,94,98,61,34,37,11,22,29,19,27,23
7004    ,73,71,71,39,26,13,16,42,94,69,72,94,118,98,104,38,38,23,33,42,42,56,56
7003    ,59,56,70,58,26,27,15,57,94,87,81,89,105,82,65,19,37,28,17,31,28,33,25
7002    ,134,89,85,51,182,72,79,167,302,301,188,184,159,183,170,50,75,49,45,104,76,62,62
7001    ,492,418,359,277,457,176,171,600,1009,817,682,742,706,713,647,268,364,214,293,349,232,241,231
7000    ,1067,934,937,570,412,339,388,1620,2895,2125,1686,1591,1560,1547,1477,561,828,475,666,822,646,610,596
6231    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6230    ,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
6229    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6228    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6227    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6226    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6225    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6222    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6221    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6220    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6219    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6216    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6215    ,5,7,4,1,0,2,0,0,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0
6214    ,2,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6213    ,9,8,7,2,1,0,0,0,6,11,4,3,0,0,0,0,0,0,0,0,0,0,0
6212    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6211    ,1,1,0,1,0,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0
6210    ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6209    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6208    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6207    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6206    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6205    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6204    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6203    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6202    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6201    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6200    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6199    ,8,4,2,1,0,0,0,0,1,5,5,3,2,0,0,0,0,1,0,0,0,0,0
6198    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6197    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6196    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6195    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6194    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6192    ,7,13,9,5,0,1,0,0,3,11,11,6,1,2,0,0,0,0,0,0,0,0,0
6191    ,2,5,3,2,0,0,0,2,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0
6190    ,3,3,3,0,1,0,0,1,6,3,2,1,0,0,0,0,1,0,0,0,0,0,0
6189    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6188    ,44,59,52,24,8,2,1,6,21,50,52,46,16,2,1,1,0,0,1,1,2,0,0
6187    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6186    ,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6185    ,4,5,2,0,0,0,0,0,5,1,5,0,0,0,0,0,1,0,0,0,0,0,0
6184    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6183    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6182    ,4,1,2,3,0,0,0,2,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0
6181    ,1,2,3,3,0,0,0,1,6,1,4,3,1,0,0,0,0,0,0,0,0,0,0
6180    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6179    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6178    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6177    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6176    ,19,20,12,3,2,0,0,4,18,22,13,4,7,3,0,0,0,0,0,0,0,0,0
6175    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6174    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6173    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6172    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6171    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6170    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6169    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6168    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6167    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6166    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6165    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6164    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6163    ,0,0,0,0,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6162    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6161    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6160    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6159    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6158    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6157    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6156    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6155    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6154    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6153    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6152    ,0,0,0,0,6,4,2,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6151    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6150    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6149    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6148    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6147    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6146    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6145    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6143    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6141    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6140    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6139    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6138    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6137    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6136    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6135    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6134    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6133    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6132    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6131    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6130    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6129    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6128    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6127    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6126    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6125    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6124    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6123    ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6122    ,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
6121    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6120    ,3,1,0,2,0,0,0,0,2,0,2,0,4,3,6,1,0,0,2,1,0,2,1
6119    ,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,3,0
6118    ,0,1,1,1,0,0,0,1,0,0,0,0,6,9,4,0,2,1,3,3,1,1,1
6117    ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
6116    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6115    ,1,0,2,0,1,0,0,0,1,0,3,0,0,1,0,0,1,1,0,0,0,0,1
6114    ,1,4,4,2,1,0,0,1,1,3,1,2,2,2,1,1,0,0,0,3,1,0,1
6113    ,0,2,0,1,0,0,0,0,0,2,3,1,1,1,3,0,1,0,2,2,0,0,1
6112    ,0,0,0,0,1,1,0,0,2,1,1,0,3,3,3,0,2,3,5,6,7,16,39
6111    ,0,0,0,1,0,0,0,0,1,1,1,3,1,2,0,1,2,0,0,0,0,0,1
6110    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6109    ,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,1,1,0,0
6108    ,0,1,0,0,0,0,1,0,1,1,1,1,3,1,1,1,1,1,0,0,1,0,1
6107    ,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6106    ,1,0,0,4,1,0,0,1,0,2,0,2,6,0,1,0,2,2,0,1,2,1,0
6105    ,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1
6104    ,1,6,2,2,0,2,0,0,1,4,1,3,2,0,3,1,0,0,1,2,0,0,0
6103    ,1,2,1,0,0,0,0,0,2,1,0,0,2,1,2,0,0,0,0,2,1,1,0
6102    ,6,4,12,5,3,0,1,5,9,9,10,7,8,12,9,3,6,2,7,8,7,10,4
6101    ,1,2,1,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,2,0,0,0,0
6100    ,0,0,3,1,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,1,0,0,2
6099    ,2,2,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,1,0,0,0,1,1
6098    ,3,0,3,1,2,1,1,1,2,4,2,4,3,2,3,1,1,1,1,2,2,0,1
6097    ,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
6096    ,2,0,7,4,1,1,0,1,2,3,3,5,8,13,2,2,2,3,1,0,2,4,0
6095    ,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0
6094    ,0,0,1,1,0,0,0,1,1,0,0,3,0,1,1,0,1,1,0,0,1,0,0
6093    ,2,3,2,3,1,0,0,0,2,0,0,3,2,0,3,1,1,1,0,1,1,1,0
6092    ,5,10,5,4,2,3,0,0,3,3,4,6,5,8,2,3,1,0,1,4,1,0,2
6091    ,4,4,4,1,1,1,1,0,2,5,4,9,2,4,4,1,3,0,1,3,1,2,0
6090    ,2,0,2,0,0,0,0,0,2,1,0,1,3,1,1,0,0,1,0,3,1,0,0
6089    ,0,0,4,0,1,1,0,0,4,3,0,5,4,6,3,1,2,1,1,2,2,1,0
