8015    ,2,8
2344    ,0,0
1508    ,0,0
4121    ,51,136
6201    ,0,0
1287    ,0,3
3060    ,707,2567
2246    ,30,130
2232    ,7,17
0049    ,0,0
6215    ,31,27
4047    ,567,1882
5185    ,0,0
4355    ,0,0
6056    ,32,97
4149    ,2,13
0015    ,0,0
6041    ,94,308
1407    ,0,0
6102    ,53,233
2043    ,2687,8517
1220    ,1,4
2097    ,236,790
4201    ,0,0
1451    ,0,0
5010    ,4018,13892
3185    ,0,17
3199    ,0,7
1439    ,0,0
2281    ,3,20
1445    ,0,0
5088    ,27,81
2086    ,489,1486
6173    ,0,0
1265    ,0,3
3122    ,77,174
6070    ,7,20
3220    ,0,3
2367    ,0,0
4335    ,0,0
4185    ,0,2
2138    ,163,222
1402    ,0,0
1580    ,0,0
4348    ,0,0
5079    ,39,152
1431    ,7,7
1072    ,1089,3791
5132    ,0,6
1195    ,51,113
2316    ,0,0
1469    ,2,7
4078    ,110,392
7018    ,70,223
6010    ,1705,5092
7061    ,0,0
5075    ,24,136
4077    ,261,726
7015    ,181,535
3136    ,23,177
2016    ,18052,58407
4053    ,448,1457
2113    ,227,752
2200    ,6,17
2001    ,167779,561445
1511    ,0,0
6080    ,39,57
5156    ,8,24
4094    ,136,476
4143    ,14,23
4154    ,3,11
6140    ,0,0
1030    ,7120,22013
3231    ,0,0
1333    ,0,0
5009    ,5399,17132
2030    ,5793,20388
1134    ,106,320
6033    ,139,596
2227    ,4,12
3173    ,8,48
1343    ,3,13
1558    ,0,0
5036    ,250,940
1514    ,0,0
3115    ,81,274
1164    ,30,103
6065    ,42,90
3216    ,3,14
3262    ,0,4
5024    ,837,2762
6079    ,9,24
2236    ,3,18
9003    ,0,0
2268    ,3,19
1233    ,7,31
2208    ,5,28
3329    ,0,0
2118    ,161,510
5063    ,87,276
0009    ,0,0
1349    ,0,0
2085    ,376,1268
3096    ,146,477
2326    ,0,0
3058    ,894,2980
2050    ,1705,6078
1271    ,0,0
0031    ,0,0
3021    ,7746,24410
5123    ,20,54
2329    ,0,0
3055    ,881,3351
5014    ,2995,9924
1557    ,0,0
4237    ,0,0
1269    ,4,4
6228    ,0,0
4105    ,29,130
1112    ,274,1003
7023    ,15,71
1250    ,11,46
6005    ,2201,6610
8012    ,13,42
1417    ,0,0
2341    ,0,0
4359    ,0,0
1081    ,814,2663
3321    ,0,0
4382    ,0,0
1507    ,0,0
2103    ,228,889
4020    ,4283,13661
1169    ,33,384
1024    ,11061,38673
4313    ,1,19
1406    ,0,0
4059    ,417,1433
3241    ,0,0
4042    ,792,2764
3334    ,0,0
2134    ,129,388
2180    ,16,43
5147    ,0,0
1478    ,0,0
3341    ,0,0
6202    ,0,0
4101    ,128,369
4302    ,0,0
3229    ,0,0
1210    ,0,0
1028    ,7914,25765
1202    ,7,17
2073    ,639,2012
1486    ,0,0
4009    ,11732,36928
1361    ,2,5
5168    ,0,0
1378    ,0,0
0063    ,0,0
2025    ,8628,28730
1086    ,656,2359
2039    ,3233,10826
3311    ,0,2
1121    ,148,501
4159    ,0,0
3067    ,720,2239
5165    ,8,12
1452    ,0,0
6196    ,0,0
4128    ,28,82
2082    ,413,1379
4253    ,0,0
2351    ,0,0
1398    ,0,0
1196    ,22,69
4005    ,19249,63551
1007    ,49069,164662
1104    ,322,1103
6093    ,15,33
3180    ,2,9
2270    ,0,2
3146    ,16,78
1348    ,0,0
1569    ,0,0
1150    ,31,120
1575    ,0,0
4109    ,55,181
1495    ,0,0
3063    ,748,2464
2045    ,2289,7771
2235    ,0,0
3082    ,197,628
1076    ,660,2563
6015    ,827,2988
4275    ,0,0
4294    ,0,0
6178    ,0,0
1321    ,0,5
1510    ,0,4
6101    ,8,20
8003    ,108,372
6175    ,0,0
1160    ,46,148
3002    ,76562,246974
