block,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
7064    ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7063    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7062    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7061    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7060    ,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0
7059    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7058    ,1,5,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,2,1,1,0,0
7057    ,3,1,5,3,3,0,0,1,0,1,2,5,3,2,2,0,0,1,3,2,0,2,1
7056    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7055    ,1,1,1,1,0,0,0,0,1,2,1,1,2,0,1,0,0,0,0,1,0,2,0
7054    ,2,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,1,0,1,0
7053    ,0,2,0,1,0,0,0,0,0,3,0,3,0,1,2,0,0,0,1,1,0,0,0
7052    ,1,0,0,0,0,1,0,0,1,0,0,4,2,1,0,0,0,0,0,0,1,0,0
7051    ,1,0,0,1,0,0,1,1,0,0,1,0,0,2,3,0,0,0,0,1,0,1,0
7050    ,2,0,0,1,0,0,0,1,1,0,3,1,0,5,2,2,2,2,0,2,1,2,0
7049    ,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0
7048    ,1,1,2,0,0,0,0,0,1,2,1,1,3,2,6,0,1,1,0,1,0,3,0
7047    ,0,1,2,2,1,0,0,1,0,1,1,1,2,4,1,0,0,0,1,2,0,1,0
7046    ,0,0,2,0,0,1,1,0,0,3,1,6,0,3,0,0,1,0,1,1,3,1,0
7045    ,1,1,0,2,0,0,1,2,0,1,0,0,5,6,0,4,2,0,1,1,1,2,0
7044    ,9,6,1,3,3,7,2,11,25,18,13,10,11,10,13,1,6,3,5,11,6,2,3
7043    ,1,1,4,2,3,1,1,2,3,2,3,4,9,8,2,2,2,2,2,2,3,0,0
7042    ,1,2,1,0,2,0,0,4,4,5,1,1,1,2,2,0,1,0,0,0,0,0,0
7041    ,3,1,1,5,3,7,3,9,16,18,6,4,6,8,10,1,3,2,2,5,4,3,0
7040    ,0,1,0,0,0,1,1,0,0,1,0,2,2,1,2,0,0,1,1,2,0,0,0
7039    ,4,2,3,0,1,0,0,2,4,2,2,2,3,2,0,0,2,1,2,2,0,0,3
7038    ,1,0,2,0,0,1,0,1,1,2,2,3,1,3,1,0,0,0,1,3,2,1,2
7037    ,5,0,1,1,2,2,3,3,5,4,0,2,2,7,7,2,1,0,0,0,1,1,0
7036    ,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
7035    ,5,4,5,1,0,0,0,1,7,2,2,0,3,2,3,0,1,0,0,1,0,1,0
7034    ,0,1,0,0,0,0,0,0,1,1,0,2,2,1,1,1,0,0,1,1,0,0,0
7033    ,5,9,7,3,6,1,3,4,7,12,9,12,10,10,8,5,4,0,1,0,0,1,1
7032    ,1,2,2,2,0,0,0,0,1,3,2,1,3,1,4,1,2,1,0,1,2,0,1
7031    ,2,6,0,2,1,0,0,4,7,5,5,4,6,4,1,3,1,0,1,0,0,2,0
7030    ,4,5,6,4,5,1,3,2,4,3,5,3,3,1,2,2,0,0,0,2,1,2,0
7029    ,1,2,0,0,1,0,0,0,2,0,2,0,0,2,2,1,0,0,0,0,0,0,0
7028    ,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
7027    ,0,1,1,0,0,0,0,0,0,0,1,2,4,4,3,0,3,0,0,2,1,0,0
7026    ,5,1,8,6,1,1,0,8,8,6,6,6,2,6,10,2,2,2,3,3,5,2,2
7025    ,0,0,0,1,0,0,0,1,0,2,1,1,2,0,0,1,0,0,0,1,1,0,0
7024    ,1,0,0,0,0,0,1,2,3,0,1,1,2,2,1,1,0,0,0,1,0,0,0
7023    ,1,3,0,2,0,1,1,0,1,2,1,5,5,5,4,0,1,0,2,2,1,0,0
7022    ,5,3,0,0,2,0,1,2,7,6,5,1,0,1,0,0,0,0,0,0,0,0,0
7021    ,17,10,18,3,4,8,4,23,26,21,15,13,19,13,17,5,7,2,5,5,3,3,0
7020    ,4,2,2,1,2,0,2,0,7,7,3,5,3,2,2,0,2,0,0,0,0,0,3
7019    ,12,10,12,3,3,1,3,11,14,4,7,4,8,3,4,3,2,0,0,0,0,1,2
7018    ,10,7,16,6,3,1,2,8,10,6,11,9,10,13,12,7,3,5,5,4,1,2,0
7017    ,11,14,16,10,6,2,1,9,13,14,13,20,21,17,16,7,6,10,8,10,5,3,1
7016    ,18,22,34,12,9,2,5,17,20,21,16,32,25,15,19,9,19,9,5,7,15,9,8
7015    ,11,30,41,21,7,10,5,18,13,19,27,28,34,12,26,11,10,6,8,8,4,5,4
7014    ,15,18,26,15,9,4,4,15,18,10,20,17,25,21,14,7,6,6,4,4,3,2,3
7013    ,25,47,16,30,4,5,4,11,28,19,23,28,39,28,26,4,11,3,16,7,7,4,4
7012    ,11,27,25,17,16,4,4,14,13,12,21,29,42,28,25,11,3,7,5,14,10,5,5
7011    ,35,29,49,24,21,6,5,20,19,30,38,42,54,50,32,14,17,6,7,11,9,13,12
7010    ,39,62,46,39,22,12,12,24,33,39,48,40,55,57,53,13,25,11,9,21,13,13,7
7009    ,41,24,33,25,12,7,3,27,47,35,35,42,46,42,43,14,17,8,11,20,14,8,5
7008    ,29,42,25,33,8,11,8,24,50,37,34,50,47,55,47,20,25,10,10,22,11,7,9
7007    ,42,59,50,32,22,23,34,183,252,184,171,161,132,126,69,21,35,18,15,25,12,14,12
