BBLE,Market_Value
1000161184,211895
1000161185,211895
1000161186,211895
1000161187,214451
1000161188,214451
1000161189,214451
1000161190,217077
1000161191,217077
1000161192,217077
1000161193,191207
1000161194,191207
1000161195,196388
1000161196,196388
1000161197,196388
1000161198,198960
1000161199,198960
1000161200,198960
1000161201,201582
1000161202,201582
1000161203,211022
1000161204,192944
1000161205,192944
1000161206,219645
1000161207,223965
1000161208,223965
1000161209,223965
1000161210,226529
1000161211,226529
1000161212,226529
1000161213,231711
1000161214,231711
1000161215,231711
1000161216,234282
1000161217,211022
1000161218,211022
1000161219,211022
1000161220,213641
1000161221,213641
1000161222,213641
1000161223,216204
1000161224,216204
1000161225,216204
1000161226,217895
1000161227,217895
1000161228,228278
1000161229,233402
1000161230,233402
1000161231,230838
1000161232,236020
1000161233,236020
1000161234,233402
1000161235,238591
1000161236,238591
1000161237,236020
1000161238,241167
1000161239,1184374
1000161240,1141346
1000161301,93234000
1000161302,43030000
1000161401,822000
1000161402,526542
1000161403,443977
1000161404,280506
1000161405,430055
1000161406,532359
1000161407,475117
1000161408,530115
1000161409,446983
1000161410,282400
1000161411,432951
1000161412,514383
1000161413,478341
1000161414,526150
1000161415,440796
1000161416,298375
1000161417,744619
1000161419,619389
1000161420,307677
1000161421,443455
1000161422,367603
1000161423,300400
1000161424,228255
1000161425,521353
1000161426,623421
1000161427,309814
1000161428,446394
1000161429,370086
1000161430,302319
1000161431,229800
1000161432,524796
1000161433,627558
1000161434,311818
1000161435,449272
1000161436,372594
1000161437,304389
1000161438,231260
1000161439,528196
1000161440,631657
1000161441,313889
1000161442,452256
1000161443,374922
1000161444,306372
1000161445,232872
1000161446,418154
1000161447,588162
1000161448,315850
1000161449,455243
1000161450,377321
1000161451,308287
1000161452,234378
1000161453,405670
1000161454,564193
1000161455,317853
1000161456,458118
1000161457,379628
1000161458,310337
1000161459,235902
1000161460,408196
1000161461,567791
1000161462,319991
1000161463,461081
1000161464,382181
1000161465,312319
1000161466,237384
1000161467,410855
1000161468,571428
1000161469,321973
1000161470,464044
1000161471,384510
1000161472,314238
1000161473,238844
1000161474,413406
1000161475,575025
1000161476,324022
1000161477,466986
1000161478,387039
1000161479,316220
1000161480,240368
1000161481,416041
1000161482,578793
1000161483,326114
1000161484,469798
1000161485,389458
1000161486,318181
1000161487,241743
1000161488,418679
1000161489,582390
1000161490,328182
1000161491,472806
1000161492,391790
1000161493,320121
1000161494,243355
1000161495,421184
1000161496,585918
1000161497,330255
1000161498,475639
1000161499,394316
1000161500,322234
1000161501,244837
1000161502,423843
1000161503,589537
1000161504,332280
1000161505,478623
1000161506,396778
1000161507,324174
1000161508,246382
1000161509,426502
1000161510,593241
1000161511,334326
1000161512,481565
1000161513,399219
1000161514,326114
1000161515,247842
1000161516,429138
1000161517,596835
1000161518,336312
1000161519,484549
1000161520,401550
1000161521,328182
1000161522,249412
1000161523,431600
1000161524,600475
1000161525,338382
1000161526,487339
1000161527,404016
1000161528,330100
1000161529,250893
1000161530,434280
1000161531,604027
1000161532,340386
1000161533,490302
1000161534,406453
1000161535,332061
1000161536,252439
1000161537,436916
1000161538,607710
1000161539,342456
1000161540,493223
1000161541,408915
1000161542,334153
1000161543,253902
1000161544,439575
1000161545,611326
1000161546,344460
1000161547,496164
1000161548,411226
1000161549,336008
1000161550,255359
1000161551,442037
1000161552,614987
1000161553,346619
1000161554,499152
1000161555,413731
1000161556,337988
1000161557,256929
1000161558,444718
1000161559,618560
1000161560,348644
1000161561,918177
1000161562,339994
1000161563,258347
1000161564,447332
1000161565,622155
1000161566,350693
1000161567,504947
1000161568,418612
1000161569,341977
