X,Y,GISPROPNUM,LOCATION,WATERFRONT,SIGNNAME,BOROUGH,COMFORTSTA,TYPECATEGO,EAPPLY,SHAPE_area,SHAPE_len,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
1017682.228330587036908,179329.551807580253808,B246,Wortman Ave. between Jerome St. and Warwick St.,N,Jerome Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Jerome Playground (PS 273),46526.56789050000,899.96802303500,11207,B5,G6350,S
1014077.17806480336003,177024.235044480359647,B247,"Louisiana Ave., Stanley Ave., Flatlands Ave., Williams Ave.",N,Breukelen Ballfields,B,Y-CONFSTA-PLGD,Community Park,Breukelen Ballfields (PS 260 - Playground only),691985.54343800002,5237.60535673000,11207,B5,G6350,S
1005363.527962648193352,169644.985201390722068,B248,Ave. H between E. 54 St. to E. 55 St.,N,Fox Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Fox Playground (PS 251),105631.82169700001,1452.17774016000,11234,B5,G6350,S
1010880.306707276031375,181361.187715575681068,B249,Dumont Ave. between Powell St. and Mother Gaston Blvd.,N,Van Dyke Playground,B,N-CONFSTA-PARK,Neighborhood Park,Van Dyke Playground,61825.06947830000,995.09990282700,11212,B5,G6350,S
998943.40359153051395,171763.261438026936958,B250,Nostrand Ave. between Foster Ave. and Farragut Pl.,N,Nostrand Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Nostrand Playground (PS 269),133374.23608500001,1719.02612042000,11210,B5,G6350,S
992562.836571252322756,153168.345623869885458,B252,Ave. Z between W. 1 St. and West St.,N,West Playground,B,N-CONFSTA-PARK,Neighborhood Park,West Playground,104549.61512400000,1606.41706346000,11223,B5,G6350,S
999732.08987912395969,179215.952979783935007,B254,"Winthrop St., Brooklyn Ave., Rutland Rd.",N,Wingate Park,B,Y-CONFSTA-PARK,Jointly Operated Playground,Wingate Park,247861.73733900001,2467.06812765000,11203,B5,G6350,S
987121.103220466640778,180823.234128445532406,B255C,17 St. bet. 5 Ave. and 6 Ave.,N,Park,B,N-CONFSTA-PARK,Playground,Park,31616.32012510000,1540.89961996000,11215,B5,G6350,S
987466.456148904049769,180291.836644519178662,B255E,"S/B Prospect Exwy. bet. 6 Ave., 7 Ave., and 18 St.",N,Park,B,N-CONFSTA-PARK,Parkway,Park,26082.65675500000,1377.50048467000,11215,B5,G6350,S
987672.571469340589829,180273.060463717498351,B255F,"N/B Prospect Exwy., 17 St., bet. 6 Ave. and 7 Ave.",N,Detective Joseph Mayrose Park,B,N-CONFSTA-PARK,Neighborhood Park,Detective Joseph Mayrose Park,58897.77565910000,1805.91467007000,11215,B5,G6350,S
