,BOROUGH,COMFORTSTA,EAPPLY,GISPROPNUM,LOCATION,SHAPE_area,SHAPE_len,SIGNNAME,TYPECATEGO,WATERFRONT
961,M,N-CONFSTA-PARK,The Creative Little Garden,M315,"E. 6 St., bet.ween Ave. A and Ave. B",2395.05759085,245.05341691,The Creative Little Garden,Garden,N
962,M,N-CONFSTA-PARK,Rev. Linette C Williamson Memorial Park,M316,E. 129 St. bet.ween Lenox Ave. and 5 Ave.,4788.9355953,513.423321892,Rev. Linnette C Williamson Memorial Park,Garden,N
963,M,N-CONFSTA-PARK,Frank White Neighborhood Service Center,M317,W. 143 St. bet.ween Hamilton Pl. and Broadway,3714.82267623,280.083850737,Frank White Neighborhood Service Center,Garden,N
964,M,N-CONFSTA-PARK,Merchant's House Museum,M318,E. 4 St. bet.ween Bowery and Lafayette St.,3229.80214213,312.844096547,Merchant's House Museum,Historic House Park,N
965,M,N-CONFSTA-PARK,Sugar Hill Garden,M319A,Edgecombe Ave. and W. 150 St.,2986.67602041,261.002160513,Sugar Hill Garden,Garden,N
966,M,N-CONFSTA-PARK,Edgecombe Park,M319B,Edgecombe Ave. and W. 150 St.,4874.42529199,298.42030997,Edgecombe Park,Garden,N
967,X,N-CONFSTA-PARK,Schneider Sampson Square,X049,Baisley Ave. bet. Hollywood Ave. and Bruckner Blvd.,9077.8440765,592.976106737,Schneider Sampson Square,Mall,N
968,R,N-CONFSTA-PARK,Olmsted-Beil House Park,R162,Orchard La. S. bet. King St. and Hylan Blvd.,68577.1757942,1035.0518675,Olmsted-Beil House Park,Historic House Park,N
969,R,N-CONFSTA-PARK,Laredo Avenue Parcel,R161,"Annadale Rd. bet. Laredo Ave. and Lamoka Ave., Memphis Ave.",96863.1972709,2191.60910333,Laredo Avenue Parcel,Nature Area,N
970,R,N-CONFSTA-PARK,Fort Hill Park,R158,Sherman Ave. bet. Fort Pl. and Hendricks Ave.,33839.2313166,918.874072684,Fort Hill Park,Nature Area,N
971,M,N-CONFSTA-PARK,Old Croton Aqueduct Gatehouse,M320,Amsterdam Ave. bet.ween W. 118 St. and W. 119 St.,6857.58786396,364.038575143,Old Croton Aqueduct Gatehouse,Historic House Park,N
972,M,N-CONFSTA-PARK,Open Road Park,M321,"E. 12 St., E. 11 St. bet.ween 1 Ave. and Ave. A",36077.5676247,764.021215612,Open Road Park,Jointly Operated Playground,N
973,M,N-CONFSTA-PARK,Harris Garden,M322,W. 153 St. and St Nicholas Ave.,4767.30994297,347.031523904,Harris Garden,Garden,N
974,M,N-CONFSTA-PARK,Diamante Garden,M323,E. 118 St. bet.ween 1 Ave. and 2 Ave.,8354.59980082,367.739445145,Diamante Garden,Garden,N
975,M,N-CONFSTA-PARK,Earth People,M324,E. 8 St. bet.ween Ave. B and Ave. C,4818.55932895,293.982697014,Earth People,Garden,N
976,M,N-CONFSTA-PARK,La Plaza Cultural,M325,E. 8. St. bet.ween Ave. B and Ave. C,29128.7967807,1088.29292819,La Plaza Cultural,Garden,N
977,M,N-CONFSTA-PARK,Liz Christy Garden,M326,"E. Houston, bet.ween Bowery and 2 Ave.",11633.6286424,749.461074073,Liz Christy Garden,Garden,N
978,M,N-CONFSTA-PARK,William B. Washington Memorial Garden,M328,W. 126 St. bet.ween St Nicholas Ave. and Frederick Douglas Blvd.,3813.36743837,252.12392424,William B. Washington Memorial Garden,Garden,N
979,M,N-CONFSTA-PARK,Generation X,M329,E. 4 St. bet.ween Ave. B and Ave. C,4738.52443818,293.739765087,Generation X,Garden,N
980,M,N-CONFSTA-PARK,Family Community Garden,M330,E. 111 St. bet.ween Lexington Ave. and 3 Ave.,1890.23037831,242.893279646,Family Community Garden,Garden,N
981,M,N-CONFSTA-PARK,117th St Community Garden,M331,E. 117 St. bet.ween Lexington Ave. and 3 Ave.,3557.92736671,274.999699627,117th St Community Garden,Garden,N
982,M,N-CONFSTA-PARK,The Secret Garden,M332,E. 4 St. and Ave C.,2209.44348712,232.032099885,The Secret Garden,Garden,N
983,M,N-CONFSTA-PARK,Bradhurst Ave Garden,M333,Bradhurst Ave. and W. 152 St.,4179.84902574,286.33906766,Bradhurst Ave Garden,Garden,N
984,M,N-CONFSTA-PARK,Brisas Del Caribe,M334,E. 3 St. bet.ween Ave. B and Ave. C,2537.27179645,249.913259242,Brisas Del Caribe,Garden,N
985,M,N-CONFSTA-PARK,Cmty Of Poor People In Action,M335,Stanton St. and Clinton St.,2779.94639546,261.433635466,Community Of Poor People In Action,Garden,N
986,M,N-CONFSTA-PARK,De Colores Cmty Yard and Center,M336,E. 8 St. bet.ween Ave. B and Ave. C,2944.66980286,226.378960523,De Colores Community Yard and Cultural Center,Garden,N
987,M,N-CONFSTA-PARK,Dias Y Flores,M337,E. 13 St. bet.ween Ave. A and Ave. B,5333.0551819,313.722184931,Dias Y Flores,Garden,N
988,M,N-CONFSTA-PARK,Neighbors Of Vega Baja,M338,E. 109 St. bet.ween 1 Ave. and 2 Ave.,3103.33703051,264.790017894,Neighbors Of Vega Baja,Garden,N
989,M,N-CONFSTA-PARK,El Sol Brilliante Jr,M339,E. 12 St. bet.ween Ave. A and Ave. B,2589.81504233,261.354688148,El Sol Brilliante Jr,Garden,N
990,M,N-CONFSTA-PARK,Elizabeth Langley Memorial Garden,M340,W. 137 St. bet.ween Lenox Ave. and Adam C Powell Blvd.,4962.39660088,302.083980302,Elizabeth Langley Memorial Garden,Garden,N
991,M,N-CONFSTA-PARK,Garden Of Love,M341,W. 116 St. bet.ween Manhattan Ave. and Fred Douglass Blvd.,3936.57655203,283.88886535,Garden Of Love,Garden,N
992,M,N-CONFSTA-PARK,Community Garden Association,M342,Ave. B bet.ween E. 12 St. and E. 13 St.,1188.25796731,165.131373268,Community Garden Association,Garden,N
993,M,N-CONFSTA-PARK,Vamos Sembrar,M343,Ave. B bet.ween E. 12 St. and E. 13 St.,1193.48390026,165.232073191,Vamos Sembrar,Garden,N
994,M,N-CONFSTA-PARK,Humacao Community Garden,M344,E. 108 St. bet.ween 1 Ave. and 2 Ave.,5065.41756592,304.929984555,Humacao Community Garden,Garden,N
995,M,N-CONFSTA-PARK,Kenkeleba House,M345,E. 2 St. bet.ween Ave. B and Ave. C,13681.2521746,682.97852244,Kenkeleba House,Garden,N
996,M,N-CONFSTA-PARK,Life Spire Garden,M346,Lexington Ave. bet.ween E. 122 St. and E. 123 St.,853.977483306,154.056693444,Life Spire Garden,Garden,N
997,M,N-CONFSTA-PARK,Mobilization For Change,M347,Columbus Ave. and W. 107 St.,2072.41755041,206.620832494,Mobilization For Change,Garden,N
998,M,N-CONFSTA-PARK,Morris-Jumel Ecological Education Garden,M348,W. 162 St. bet.ween Amsterdam Ave. and Edgecombe Ave.,4340.28357019,304.467725694,Morris-Jumel Ecological Education Garden,Garden,N
999,M,Y-CONFSTA-ZONE,New 123rd St Block Association Garden,M349,W. 123 St. bet.ween Lenox Ave. and Adam C Powell Blvd.,6117.76968607,325.08145936,New 123rd St Block Association Garden,Garden,N
1000,M,N-CONFSTA-PARK,Peachtree Garden,M350,E. 2 St. bet.ween Ave. B and Ave. C,5346.96863607,315.668348872,Peachtree Garden,Garden,N
1001,M,N-CONFSTA-PARK,Joseph Daniel Wilson Garden,M351,W. 122 St. bet.ween Fred Douglass Blvd. and Adam Clayton Powell Blvd.,2441.494109,468.679130448,Joseph Daniel Wilson Garden,Garden,N
1002,M,N-CONFSTA-PARK,Yu Suen Garden,M352,Ave. B and E. 13 St.,2683.56320818,247.20096549,Yu Suen Garden,Garden,N
1003,M,N-CONFSTA-PARK,P.S. 76 Garden,M356,W. 120 St. bet.ween Adam Clayton Powell Blvd. and St Nicholas Ave.,2649.10603956,255.779243336,P.S. 76 Garden,Garden,N
1004,M,N-CONFSTA-PARK,Los Amigos Garden,M357,"E. 3 St., bet. Ave. B and Ave. C",2403.15471868,247.215969392,Los Amigos Garden,Garden,N
1005,M,N-CONFSTA-PARK,First Street Garden,M358,E. 1 St. bet. 1 Ave. and 2 Ave.,2301.51670135,252.296145726,First Street Garden,Garden,N
1006,M,N-CONFSTA-PARK,Campos Garden,M359,E. 12 St. bet.ween Ave. B and Ave. C,5179.32348667,307.431558051,Campos Garden,Garden,N
1007,M,N-CONFSTA-PARK,Lower East Side Ecology Center,M361,E. 7 St. bet.ween Ave. B and Ave. C,6715.75833315,334.512815802,Lower East Side Ecology Center,Garden,N
1008,M,N-CONFSTA-PARK,W 124th Street Community Garden,M362,W. 124 St. bet.ween Lenox Ave. and 5 Ave.,2013.33100639,245.073797689,W 124th Street Community Garden,Garden,N
1009,M,N-CONFSTA-PARK,Jackie Robinson Community Garden,M364,E. 122 St. bet.ween Park Ave. and Lexington Ave.,2502.73503935,250.221173281,Jackie Robinson Community Garden,Garden,N
1010,M,N-CONFSTA-PARK,Our Little Green Acre Garden,M365,W. 122 St. bet.ween Frederick Douglass Blvd. and Adam C. Powell Blvd.,2262.10563197,218.160701673,Our Little Green Acre/garden Eight,Garden,N
1011,M,N-CONFSTA-PARK,Urban Botanical/Sam and Sadie Koenig,M370,E. 7 St. bet. Ave. C and Ave. D,1525.08462649,244.490204806,Urban Botanical Soc./Sam and Sadie Koenig Garden,Garden,N
1012,M,N-CONFSTA-PARK,La Perla Garden,M373,W. 105 St. bet. Columbus Ave. and Manhattan Ave.,2060.26083344,255.512036784,La Perla Garden,Garden,N
1013,M,N-CONFSTA-PARK,Pleasant Park Garden,M375,E. 114 St. bet. 1 Ave. and Pleasant Ave.,5184.59934803,308.473679635,Pleasant Park Garden,Garden,N
1014,M,N-CONFSTA-PARK,United Block Association Garden,M380,W. 131 St. bet. 5 Ave. and Lenox Ave.,3239.16825157,268.12425286,United Block Association Garden,Garden,N
1015,M,N-CONFSTA-PARK,La Cuevita Garden,M383,E. 115 St. bet. Park Ave. and Madison Ave.,2535.34292778,259.482191794,La Cuevita Garden,Garden,N
1016,M,N-CONFSTA-PARK,Pueblo Unido Garden,M384,Madison Ave. bet. E. 110 St. and E. 111 St.,2378.15575255,243.66064191,Pueble Unido Garden,Garden,N
1017,X,N-CONFSTA-PARK,Haviland Playground,X208,"Haviland Ave., Watson Ave. bet. Virginia Ave. and Pugsley Ave.",36618.7992157,792.801468861,Haviland Playground,Jointly Operated Playground,N
1018,X,N-CONFSTA-PARK,Black Rock Playground,X205,"Watson Ave., Blackrock Ave. bet. Virginia Ave., Pugsley Ave.",14868.2447597,558.408132488,Black Rock Playground,Jointly Operated Playground,N
1019,M,N-CONFSTA-PARK,Fort Tryon Park,M029,"Riverside Dr To Broadway, W 192 St To Dyckman St",2927806.01724,11000.0291929,Fort Tryon Park,Community Park,N
1020,M,N-CONFSTA-PARK,Allen Mall One,M004,"E Houston St, E Broadway",73988.8319605,6406.22246567,Allen Mall One,Mall,N
1021,M,N-CONFSTA-PARK,Johnny Hartman Square,M040,"Amsterdam Av, W 143 St and Hamilton Pl",805.108502919,140.879811351,Johnny Hartman Square,Triangle/Plaza,N
1022,Q,Y-CONFSTA-PARK,Andrews Grove,Q045,49 Ave. bet. 5 St. and Vernon Blvd.,23178.4550949,656.074526077,Andrews Grove,Playground,N
1023,Q,N-CONFSTA-PARK,William Simmons Community Garden Club,Q121A,173 St. bet. 106 Ave. and 107 Ave.,26127.0062101,661.7443873,William Simmons Community Garden Club,Garden,N
1024,Q,N-CONFSTA-PARK,Detective Keith L Williams Park,Q121,Liberty Ave. bet. 172 St. and 173 St.,334690.149178,2810.49985226,Detective Keith L Williams Park,Community Park,N
1025,B,N-CONFSTA-PARK,Lafayette Playground,B023,Lafayette Ave. bet. Malcolm X Blvd. and Patch Ave.,23212.5700617,657.180250443,Lafayette Playground,Playground,N
1026,Q,N-CONFSTA-PARK,Corona Taxpayers Association Garden,Q474A,102 St. bet. Radcliff Ave. and Strong Ave.,7867.79596515,359.151849244,Corona Taxpayers Association,Garden,N
1027,Q,N-CONFSTA-PARK,Simeone Park,Q474,"Lewis Ave., Radcliff Ave. bet. 101 St. and 102 St.",69732.5794687,1214.80446215,Simeone Park,Neighborhood Park,N
1028,Q,N-CONFSTA-PARK,Two Coves Community Garden  / GOODWILL PARK (old),Q477,"Astoria Blvd., 30 Ave. bet. Main Ave. and 8 St.",33900.9686561,974.052377898,Two Coves Community Garden,Garden,N
1029,X,N-CONFSTA-PARK,176th Street Community Garden,X324,E. 176 St. bet. Walton Ave. and Morris Ave.,10098.789262,405.656767276,176th Street Community Garden,Garden,N
1030,R,N-CONFSTA-PARK,Manor Park,R166,Manor Rd. and Rockland Ave.,77460.5527508,1187.83455063,Manor Park,Nature Area,N
1031,B,Y-CONFSTA-PARK,Marion Hopkinson Playground,B110,Hopkinson Ave. bet. Marion St. and Chauncey St.,60630.4284778,1399.13294957,Marion Hopkinson Playground,Neighborhood Park,N
1032,B,Y-CONFSTA-PARK,American Playground,B001,Franklin St. bet. Milton St. and Noble St.,38999.0621438,789.981726055,American Playground,Playground,N
1033,B,Y-CONFSTA-PARK,Amersfort Park,B002,"E. 38 St., E. 38 St. bet. Ave. I and Ave. J",152680.830289,1943.19309829,Amersfort Park,Neighborhood Park,N
1034,B,N-CONFSTA-PARK,Beattie Square,B006,"Broadway, Stuyvesant Ave., Vernon Ave.",582.760704046,116.502465765,Beattie Square,Triangle/Plaza,N
1035,B,Y-CONFSTA-PARK,Betsy Head Park,B008,"Blake Ave., Dumont Ave., Livonia Ave. bet. Strauss St., Hopkinson Ave. and Bristol St.",459853.195302,3846.94210358,Betsy Head Park,Community Park,N
1036,B,Y-CONFSTA-PARK,Brower Park (PS 289 - Playground Only),B012,"St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.",305630.382689,2540.88874903,Brower Park,Neighborhood Park,N
1037,B,Y-CONFSTA-PARK,Maria Hernandez Park,B016,"Irving Ave., Kinickerbocker Ave. bet. Starr St. and Suydam St.",292927.095991,2200.17544349,Maria Hernandez Park,Neighborhood Park,N
1038,B,Y-CONFSTA-PARK,Bushwick Playground,B017,Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.,123910.977652,1626.90825701,Bushwick Playground,Jointly Operated Playground,N
1039,B,N-CONFSTA-PARK,Paerdegat Basin Park,B406,"Bergen Ave., E. 76 St., Paerdegat Ave. North",5174734.57876,21042.888211,Paerdegat Basin Park,Nature Area,Y
1040,B,Y-CONFSTA-PARK,Carroll Park,B019,"Court St., Smith St., bet. Carroll St. and President St.",83407.6827604,1335.83412816,Carroll Park,Neighborhood Park,N
1041,B,N-CONFSTA-PARK,Middleton Playground,B022,"Lynch St., Middleton St. bet. Lee Ave. and Bedford Ave.",47930.0298057,878.894908039,Middleton Playground,Playground,N
1042,M,Y-CONFSTA-PARK,The High Line,M360,Gansevoort St. To W. 30 St. bet.ween Washington St. and 11 Ave.,237937.195542,11910.3527099,The High Line,Community Park,N
1043,M,Y-CONFSTA-PLGD,Fort Washington Park,M028,"Riverside Dr., Hudson River, W. 155 St. to W. 179 St.",6987461.18151,92959.1564179,Fort Washington Park,Community Park,Y
1044,B,Y-CONFSTA-PARK,Cooper Park,B025,"Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.",282253.722443,2298.30964662,Cooper Park,Neighborhood Park,N
1045,B,N-CONFSTA-PARK,Cuyler Gore Park,B026,"Carlton Ave., Fulton St., Green Ave.",51764.6879796,1115.84474637,Cuyler Gore Park,Neighborhood Park,N
1046,B,N-CONFSTA-PARK,Veterans Triangle,B027,"Hegeman Ave., New Lots Ave. bet. Watkins St. and Mother Gaston Blvd.",1117.3459088,192.389363464,Veterans Triangle,Triangle/Plaza,N
1047,B,Y-CONFSTA-PARK,Dyker Beach Park,B028,"86 St., Belt Pkwy. bet. Bay 8 St., 14 Ave., and 7 Ave.",9034251.87792,16559.937534,Dyker Beach Park,Community Park,N
1048,B,Y-CONFSTA-PARK,Mount Prospect Park,B159,"Eastern Pkwy., Flatbush Ave. bet. Underhill Ave. and Washington Ave.",359078.889429,2355.8411975,Mount Prospect Park,Neighborhood Park,N
1049,B,N-CONFSTA-PARK,Dr. Ronald McNair Park,B044,"Eastern Pkwy., Washington Ave., Classon Ave.",58091.3149264,1300.28804261,Dr. Ronald McNair Park,Neighborhood Park,N
1050,R,N-CONFSTA-PARK,Meredith Woods,R163,"Meredith Ave., W. Shore Exwy., Chelsea Creek",678469.040023,6110.17029311,Meredith Woods,Nature Area,Y
1051,B,N-CONFSTA-PARK,Eastern Parkway Extension,B030,Eastern Pkwy. bet. Ralph Ave. and Bushwick Ave.,47739.0206211,12204.3887417,Eastern Parkway Extension,Mall,N
1052,Q,N-CONFSTA-PARK,Park,Q416,Beach Channel Dr. bet. B. 128 and B. 130 Sts.,30679.6279597,1258.11178444,Park,Undeveloped,Y
1053,R,N-CONFSTA-PARK,North Shore Esplanade,R066,Richmond Terr. from St Peter's Pl. to Stuyvesant Pl.,70452.6523961,3003.92271878,North Shore Esplanade,Triangle/Plaza,N
1054,M,Y-CONFSTA-PARK,Happy Warrior Playground,M229,W. 97 St. and Amsterdam Ave.,74097.8731797,2102.75742927,Happy Warrior Playground,Jointly Operated Playground,N
1055,Q,Y-CONFSTA-PARK,Equity Park,Q053,88 Ave. to 89 Ave. at 90 St.,71496.3587315,1170.91381243,Equity Park,Neighborhood Park,N
1056,X,N-CONFSTA-PARK,Hugh J. Grant Circle,X025,Westchester Ave. bet. Virginia Ave. and Metropolitan Ave.,58728.6390462,860.730125241,Hugh J. Grant Circle,Triangle/Plaza,N
1057,M,N-CONFSTA-PARK,TRUCE Garden,M387,St. Nicholas Ave. bet. W. 118 St. and W. 117 St.,5361.5622108,317.825248994,TRUCE Garden,Garden,N
1058,X,N-CONFSTA-PARK,Throgs Neck Park,X050,Meyers St. bet. Haskin St. and Bruckner Blvd.,19534.913001,562.594800519,Throgs Neck Park,Undeveloped,N
1059,X,Y-CONFSTA-PARK,P.O. Serrano Playground,X151,Olmstead Ave. bet. Turnbull Ave. and Lafayetter Ave.,115697.798121,1545.64487616,P.O. Serrano Playground,Neighborhood Park,N
1060,X,Y-CONFSTA-PARK,Caserta Playground,X160,St. Raymond's Ave. bet. Odell St. and Purdy St.,38911.7906706,830.135947757,Caserta Playground,Jointly Operated Playground,N
1061,X,Y-CONFSTA-PARK,Castle Hill Playground,X177,"Castle Hill Av, Parker St",60604.1042979,1193.37391313,Castle Hill Playground,Jointly Operated Playground,N
1062,X,N-CONFSTA-PARK,Bruckner Playground,X183,Brinsmade Ave. bet. Cross Bronx Ser. Rd. and Swinton Ave.,44033.6668994,954.931998772,Bruckner Playground,Jointly Operated Playground,N
1063,X,Y-CONFSTA-PARK,Story Playground,X204,Story Ave. bet. Taylor Ave. and Thieriot Ave.,96730.3593143,1348.46793001,Story Playground,Jointly Operated Playground,N
1064,R,N-CONFSTA-PARK,Gaeta Park,R126,"N. Gannon Ave., Willow Road E., Victory Blvd., Wyona Ave.",77998.508215,1468.47848284,Gaeta Park,Triangle/Plaza,N
1065,X,N-CONFSTA-PARK,Keltch Park,X058,Jerome Av bet. Macombs Rd and Elliot Pl,18226.0154612,933.605297432,Keltch Park,Triangle/Plaza,N
1066,R,N-CONFSTA-PARK,Westwood Park,R075B,"SI Expressway, Woodward Ave., Wooley Ave. and Westwood Ave.",285884.960341,2144.68134111,Westwood Park,Nature Area,N
1067,R,N-CONFSTA-PARK,Richmond Terrace Wetlands,R167,Richmond Ter. bet. Van Pelt Ave. and Van Name Ave.,487572.756449,2902.60217385,Richmond Terrace Wetlands,Nature Area,Y
1068,R,N-CONFSTA-PARK,Ingram Woods,R075C,"SI Expressway, Warwick Ave., Purdy Ave., and Ingram Ave.",164245.069342,1712.64969972,Ingram Woods,Nature Area,N
1069,B,Y-CONFSTA-ZONE,Fort Greene Park,B032,"Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St.",1320320.189,4766.22650726,Fort Greene Park,Community Park,N
1070,B,N-CONFSTA-PARK,John Paul Jones Park (Cannonball Park),B035,"101 St., Shore Pkwy. bet. 4 Ave. and Ft. Hamilton Pkwy.",231560.919303,1944.63493135,John Paul Jones Park,Neighborhood Park,N
1071,B,N-CONFSTA-PARK,Spring Creek Park,B165,"Fountain Ave., 75 St. bet. Belt Pkwy., Flatlands Ave.,",2432294.3464,12257.6850589,Spring Creek Park,Nature Area,Y
1072,B,N-CONFSTA-PARK,Grand Army Plaza,B040,"Flatbush Ave., Eastern Pkwy. and Prospect Park",616195.83611,6681.81711087,Grand Army Plaza,Triangle/Plaza,N
1073,B,Y-CONFSTA-PLGD,Gravesend Park,B042,"18 Ave., 19 Ave., bet. 55 St. and 58 St.",217861.879684,2282.59307354,Gravesend Park,Neighborhood Park,N
1074,B,N-CONFSTA-PARK,Heisser Triangle,B045,"Knickerbocker Ave., Myrtle Ave., Bleecker St.",1317.73773507,175.139595401,Heisser Triangle,Triangle/Plaza,N
1075,B,N-CONFSTA-PARK,Brooklyn Museum,B048,Eastern Pkwy. at Washington Ave.,536325.579586,3022.63937885,Brooklyn Museum,Buildings/Institutions,N
1076,B,N-CONFSTA-PARK,Brooklyn Botanic Garden,B010,"Washington Ave., Flatbush Ave. bet. Eastern Pkwy. and Empire Blvd.",2007931.27456,8419.38407696,Brooklyn Botanic Garden,Buildings/Institutions,N
1077,X,N-CONFSTA-PARK,Pugsley Creek Park,X088,"Randall Ave., Lacombe Ave., Soundview Ave. bet. White Plains Rd. and Olmstead Ave.",3636560.43197,17048.2005558,Pugsley Creek Park,Nature Area,Y
1078,R,N-CONFSTA-PARK,Barrett Park,R003,Glenwood Pl. bet. Clove Rd. and Broadway,353195.219575,2489.75939064,Barrett Park,Buildings/Institutions,N
1079,R,N-CONFSTA-PARK,Clove Lakes Park,R005,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",8425504.25945,20623.2761116,Clove Lakes Park,Community Park,N
1080,R,N-CONFSTA-PARK,Conference House Park,R006,"Pittsville St., Hylan Blvd. Richard Ave.",12474828.7962,42798.8495087,Conference House Park,Nature Area,Y
1081,R,N-CONFSTA-PARK,Faber Pool and Park,R008,"Richmond Ter. To Kill Van Kull, Faber St.",189036.465947,1743.32404014,Faber Pool and Park,Community Park,Y
1082,R,N-CONFSTA-PARK,Staats Circle,R010,Hylan Blvd. at Sand La.,13918.3198205,613.58491785,Staats Circle,Triangle/Plaza,N
1083,R,N-CONFSTA-PARK,Hero Park,R011,"Victory Blvd., Louis St., Howard Ave.",133410.665407,1856.15807083,Hero Park,Neighborhood Park,N
1084,R,N-CONFSTA-PARK,White Playground,R012,"High St., Lyman Ave., Bay St. and Summer St.",40299.7641446,803.124413854,White Playground,Neighborhood Park,N
1085,R,N-CONFSTA-PARK,Walker Park,R015,"Delafield Pl., Bard Ave., and Davis Ave.",225841.646127,1924.10493039,Walker Park,Recreation Field/Courts,N
1086,R,N-CONFSTA-PARK,Veterans Park,R019,"Heberton Ave., Park Ave., Bennett St., Vreeland St.",57697.8963872,973.772536394,Veterans Park,Neighborhood Park,N
1087,R,Y-CONFSTA-PARK,Silver Lake Park,R022,"Victory Blvd., Clove Rd., Forest Ave.",8972398.32836,16737.4120567,Silver Lake Park,Buildings/Institutions,N
1088,R,Y-CONFSTA-PARK,Tompkinsville Park,R024,"Bay St., Victory Blvd.",18451.2357984,615.049539051,Tompkinsville Park,Neighborhood Park,N
1089,R,Y-CONFSTA-PARK,Mahoney Playground,R025,"Beechwood Ave., Crescent Ave. and Jersey St.",90919.4972064,1266.02863221,Mahoney Playground,Neighborhood Park,N
1090,R,Y-CONFSTA-PARK,Dugan Playground,R026,Mill Rd. to Weed Ave. bet.ween Tysens La. and Isernia Ave.,142774.814569,1735.20515179,Dugan Playground,Community Park,N
1091,R,N-CONFSTA-PARK,Greenbelt Native Plant Center,R017A,Victory Blvd. bet.ween Ridgeway Ave. and Travis Ave.,533512.557355,4038.49544166,Greenbelt Native Plant Center,Flagship Park,N
1092,R,Y-CONFSTA-PLGD,Schmul Park,R045,"Wild Ave., Pearson St., Melvin Ave.",322129.757852,4016.86887943,Schmul Park,Neighborhood Park,N
1093,R,N-CONFSTA-PARK,Long Pond Park,R027,"Page Ave., Hylan Blvd., and Amboy Rd.",4005293.7828,51692.6697965,Long Pond Park,Nature Area,N
1094,R,Y-CONFSTA-PARK,Westerleigh Park,R029,"Willard Ave., Springfield Ave., Maine Ave., Neal Dow Ave.",126464.002302,1429.80680463,Westerleigh Park,Neighborhood Park,N
1095,B,Y-CONFSTA-PARK,Sperandeo Brothers Playground (IS 302),B163,"Atlantic Ave., Cleveland St. and Liberty Ave.",121947.284614,1983.76801899,Sperandeo Brothers Playground,Jointly Operated Playground,N
1096,R,Y-CONFSTA-PARK,Tappen Park,R028,"Canal St., Water St., Bay St.",77883.3955252,1378.10584729,Tappen Park,Historic House Park,N
1097,B,N-CONFSTA-PARK,Highland Park Childrens Garden (BOOKED BY QUEENS),B047A,Jamaica Ave. bet.ween Warwick St. to Ashford St.,18347.8157075,605.423258803,Highland Park Childrens Garden,Garden,N
1098,B,N-CONFSTA-PARK,Irving Square Park,B049,"Wilson Ave., Knickerbocker Ave., bet. Halsey St. and Weirfield St.",124172.479411,1616.02118732,Irving Square Park,Neighborhood Park,N
1099,B,Y-CONFSTA-PARK,Van Voorhees Playground,B050,"Columbia St., Hicks St. bet. Congress St. and Atlantic Ave.",175281.5762,4638.72237554,Van Voorhees Park,Neighborhood Park,N
1100,B,Y-CONFSTA-PARK,Kelly Park,B051,Ave. S bet. E. 14 St. and E. 15 St.,152775.841382,1581.75829379,Kelly Park,Neighborhood Park,N
1101,B,N-CONFSTA-PARK,Kelly Park Playground (PS 255),B157,"Ave. S, Morre Pl. bet. E. 16 St. and E. 17 St.",62621.5892514,1320.33272818,Kelly Park,Jointly Operated Playground,N
1102,B,Y-CONFSTA-PARK,Leif Ericson Park,B052,"67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy.",587790.10784,10002.3387243,Leif Ericson Park,Neighborhood Park,N
1103,B,Y-CONFSTA-PARK,Martin Luther King Jr. Playground,B056,"Dumont Ave., Blake Ave. bet. Bradford St. and Miller Ave.",100712.00414,1403.98591339,Martin Luther King Jr. Playground,Playground,N
1104,B,N-CONFSTA-PARK,Big Red Garden,B446,Van Siclen Ave. and Blake Ave.,2045.04331392,236.477748804,Big Red Garden,Garden,N
1105,R,N-CONFSTA-PARK,Deere Park,R115,"Richmond Pkwy., Ocean Terr., Tiber Pl., Staten Island Blvd.",1732781.96887,8978.61582694,Deere Park,Nature Area,N
1106,R,N-CONFSTA-PARK,Reed's Basket Willow Swamp Park,R118,"Ocean Ter., Emerson Ct., Merrick Ave., Chapin Ave.",2281473.04432,13080.2104788,Reed's Basket Willow Swamp Park,Nature Area,N
1107,B,Y-CONFSTA-PARK,McLaughlin Park,B061,"Jay St., Bridge St. bet. Tillary St. and Cathedral Pl.",87184.7152683,1344.55048727,McLaughlin Park,Recreation Field/Courts,N
1108,B,N-CONFSTA-PARK,Kathy Reilly Triangle,B092,"Ft. Hamilton Pkwy., 7 Ave., Bayridge Pkwy.",112776.841005,1673.11425499,Kathy Reilly Triangle,Recreation Field/Courts,N
1109,B,N-CONFSTA-PARK,Memorial Gore,B062,"Metropolitan Ave., Maspeth Ave., bet. Humbolt St. and Bushwick Ave.",2127.03686117,191.431128768,Memorial Gore,Triangle/Plaza,N
1110,B,Y-CONFSTA-PARK,Asser Levy Park,B080,"Boardwalk, Surf Ave., Sea Breeze Ave., Ocean Parkway",916493.405183,8259.02079333,Asser Levy Park,Community Park,Y
1111,Q,N-CONFSTA-PARK,Lost Battalion Hall Recreation Center,Q401,Queens Blvd. bet. 62 Ave. and 62 Rd.,105094.533398,2118.3493464,Lost Battalion Hall Recreation Center,Buildings/Institutions,N
