,BOROUGH,COMFORTSTA,EAPPLY,GISPROPNUM,LOCATION,SHAPE_area,SHAPE_len,SIGNNAME,TYPECATEGO,WATERFRONT
198,M,N-CONFSTA-PARK,Sakura Park,M087,"Riverside Dr., Claremont Ave. To W. 122 St.",90324.105281,1303.58407306,Sakura Park,Neighborhood Park,N
199,M,Y-CONFSTA-PARK,Tompkins Square Park,M088,"Ave. A To Ave. B, E. 7 St. To E. 10 St.",459504.222376,2711.72952039,Tompkins Square Park,Neighborhood Park,N
200,M,N-CONFSTA-PARK,Lafayette Square,M090,"Manhattan Av, W 114 St, Morningside Av",871.673134213,147.924909869,Lafayette Square,Triangle/Plaza,N
201,B,N-CONFSTA-PARK,Strip,B210N,4 Ave. bet. BQE and 64 St.,91.1767278823,178.834931692,Park,Strip,N
202,B,N-CONFSTA-PARK,Strip,B210M,S/B Gowanus Exwy. bet. 64 St. and 65 St.,364.114014896,772.097905704,Park,Strip,N
203,X,N-CONFSTA-PARK,Lozada Playground,X131,E 135 St bet. Alexander Av and Willis Av,45007.8034865,883.286142817,Lozada Playground,Jointly Operated Playground,N
204,X,Y-CONFSTA-PARK,Grove Hill Playground,X235,E 158 st bet. Eagle Av and Caildwell Av,53773.2251969,928.032687903,Grove Hill Playground,Jointly Operated Playground,N
205,B,N-CONFSTA-PARK,Bartlett Playground (PS 168),B286,"Whipple St., Bartlett St., between Throop Ave. and Flushing Ave.",40871.579149,808.822738519,Bartlett Playground,Jointly Operated Playground,N
206,B,N-CONFSTA-PARK,Ten Eyck Playground (PS 196),B311,Scholes St bet. Bushwick Av and Waterbury St,47729.7489575,897.06812101,Ten Eyck Playground,Jointly Operated Playground,N
207,X,N-CONFSTA-PARK,Deegan Rock,X145,E. 138 St. at Grand Concourse,11068.1492834,600.595586253,La Finca del Sur Community Garden,Garden,N
208,M,N-CONFSTA-PARK,Garden,M377,W. 152 St. and Fredrick Douglas Blvd.,2004.88233581,213.429957827,Garden,Garden,N
209,X,N-CONFSTA-GREENST,Charlton Garden,X086,E 164 St bet. Cauldwell Av and Boston Rd,19526.6765706,590.535023361,Charlton Garden,Neighborhood Park,N
210,B,N-CONFSTA-PARK,Park,B210G,3 Ave. bet. Hamilton Ave. and 16 St.,11845.6553194,502.704921379,Park,Triangle/Plaza,N
211,B,N-CONFSTA-PARK,Strip,B210L,N/B Gowanus Exwy. bet. 63 St. and 64 St.,393.82248902,808.614102283,Park,Strip,N
212,X,N-CONFSTA-PARK,Colgate Close,X195A,N/B Bruckner Blvd bet. Colgate Av and Close Av,86067.0812935,1312.35761786,Colgate Close,Neighborhood Park,N
213,X,N-CONFSTA-PARK,Strip,X195D,North and South of the Bruckner Expressway at Puglsey Av,303.059441748,610.140413501,Park,Strip,N
214,R,N-CONFSTA-PARK,Skyline Playground,R123,Arnold St. to Prospect Ave. bet.ween Harvard Ave and Clyde Pl.,96881.3548607,1632.0640177,Skyline Playground,Playground,N
215,X,N-CONFSTA-PARK,Colucci Playground,X122,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,174953.873808,2490.64147946,Colucci Playground,Neighborhood Park,N
216,X,Y-CONFSTA-PARK,Castle Hill Little League,X239,Zerega Av bet. Commerce Av and Gleason Av,96740.21679,1323.02019305,Castle Hill Little League Field,Recreation Field/Courts,N
217,X,Y-CONFSTA-PARK,Haffen Park,X196,Hammersley Ave. to Burke Ave. bet. Ely Ave. and Gunther Ave.,399350.484454,2536.92181523,Haffen Park,Neighborhood Park,N
218,X,N-CONFSTA-PARK,Strip,X148F5,S/B Cross Bronx Expressway bet. Anthony Av and Carter Av,741.90950357,323.012822319,Park,Strip,N
219,X,N-CONFSTA-PARK,Demera/Santiago Garden,X179A,Ave. St. John at Kelly St.,5512.90813788,317.094964667,Demera/Santiago Garden,Garden,N
220,X,N-CONFSTA-PARK,Fox Playground,X247,E 156 St bet. Fox St and Southern Blvd,41910.2813047,1033.90516697,Fox Playground,Playground,N
221,X,Y-CONFSTA-PARK,Horseshoe Playground,X014,E. 165 St. and Rogers Pl.,19072.9965872,519.649523444,Horseshoe Playground,Playground,N
222,X,N-CONFSTA-PARK,Schomberg Academy Garden,X332,Rev James Polite Av bet. E 164 St and E 165 St,1546.48602441,195.946564888,Schomberg Academy Garden,Garden,N
223,X,N-CONFSTA-PARK,Stebbins Playground,X211,Rev James Polite Av bet. E 163 St and E 164 St,38407.6994646,790.519171035,Stebbins Playground,Jointly Operated Playground,N
224,X,N-CONFSTA-PARK,Wishing Well Garden,X164A,Rev James Polite Av bet. Dawson St and Westchester Av,15329.990388,501.999842081,Wishing Well Garden,Garden,N
225,X,N-CONFSTA-PARK,Dawson Playground,X164,Rogers Pl. at Dawson St.,29482.6537863,698.485912882,Dawson Playground,Jointly Operated Playground,N
226,X,Y-CONFSTA-PARK,Rainey Park,X255,Beck St bet. Interval Av and Longwood Av,337055.228796,2560.23184597,Rainey Park,Recreation Field/Courts,N
227,M,N-CONFSTA-PARK,Vesuvio Playground,M069,Thompson St bet. Spring St and Prince St,27993.6167316,914.205352044,Vesuvio Playground,Neighborhood Park,N
228,M,N-CONFSTA-PARK,Queensboro Oval,M070,"West of York Ave., E 59 St. To E 60 St.",55203.819733,948.924973345,Queensboro Oval,Recreation Field/Courts,N
229,M,Y-CONFSTA-PARK,Roger Morris Park,M073,"Jumel Terr To Edgecombe Av, W 160 St To W 162 St",67999.7490621,1070.7109467,Roger Morris Park,Historic House Park,N
230,M,Y-CONFSTA-PARK,St. Vartan Park,M076,"1 Ave. To 2 Ave., E. 35 St. To E. 36 St.",120819.58134,2012.39976342,St. Vartan Park,Neighborhood Park,N
231,M,Y-CONFSTA-PARK,St Nicholas Park,M077,"St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St.",988927.605565,7646.50297513,St. Nicholas Park,Neighborhood Park,N
232,M,Y-CONFSTA-PARK,St Catherine's Park,M079,"1 Ave., E. 67 St. To E. 68 St.",61723.7269265,1013.70715986,St. Catherine's Park,Neighborhood Park,N
233,M,Y-CONFSTA-PARK,Gertrude Ederle Recreation Center,M063,"W. 59 St., W. 60 St., bet. Amsterdam Ave. and W. End Ave.",30336.9553408,705.209954855,Gertrude Ederle Recreation Center,Buildings/Institutions,N
