0003818,[ 20567.]
0003819,[ 17390.]
0003820,[ 60042.]
0003821,[ 13188.]
0003822,[ 34726.]
0003823,[ 63021.]
0003824,[ 20462.]
0003825,[ 54330.]
0003826,[ 29907.]
0003827,[ 20149.]
0003828,[ 15929.]
0003829,[ 44384.]
0003830,[ 39369.]
0003831,[ 23125.]
0003832,[ 33207.]
0003833,[ 26930.]
0003834,[ 41322.]
0003835,[ 25668.]
0003836,[ 16528.]
0003837,[ 19063.]
0003838,[ 43005.]
0003839,[ 24324.]
0003840,[ 45196.]
0003841,[ 24649.]
0003842,[ 34750.]
0003843,[ 24010.]
0003844,[ 31917.]
0003845,[ 15875.]
0003846,[ 38365.]
0003847,[ 29800.]
0003848,[ 34102.]
0003849,[ 18988.]
0003850,[ 58224.]
0003851,[ 25330.]
0003852,[ 20924.]
0003853,[ 36145.]
0003854,[ 20268.]
0003855,[ 30903.]
0003856,[ 47063.]
0003857,[ 40254.]
0003858,[ 29621.]
0003859,[ 19786.]
0003860,[ 32038.]
0003861,[ 31136.]
0003862,[ 28731.]
0003863,[ 35549.]
0003864,[ 57778.]
0003865,[ 44569.]
0003866,[ 37064.]
0003867,[ 51223.]
0003868,[ 41402.]
0003869,[ 42946.]
0003870,[ 36538.]
0003871,[ 40462.]
0003872,[ 52475.]
0003873,[ 50994.]
0003874,[ 38776.]
0003875,[ 48154.]
0003876,[ 37173.]
0003877,[ 63143.]
0003878,[ 72169.]
0003879,[ 35161.]
0003880,[ 29462.]
0003881,[ 45375.]
0003882,[ 30320.]
0003883,[ 36477.]
0003884,[-1.]
0003885,[ 53061.]
0003886,[ 36569.]
0003887,[ 60688.]
0003888,[ 79722.]
0003889,[ 61599.]
0003890,[ 59500.]
0003891,[ 61477.]
0003892,[ 71667.]
0003893,[ 59760.]
0003894,[ 21561.]
0003895,[ 40571.]
0003896,[ 47292.]
0003897,[ 38380.]
0003898,[ 59327.]
0003899,[ 26607.]
0003900,[ 61125.]
0005257,[ 88705.]
0005258,[ 33988.]
0005259,[ 119859.]
0005260,[ 99574.]
0005261,[ 92926.]
0005262,[ 130660.]
0005263,[ 105438.]
0005264,[ 102292.]
0005265,[ 99583.]
0005266,[ 69375.]
0005267,[-1.]
0005268,[ 44773.]
0005269,[ 170481.]
0005270,[ 37048.]
0005271,[ 16371.]
0005272,[ 11014.]
0005273,[ 61125.]
0005274,[ 64713.]
0005275,[ 83199.]
0005276,[ 87934.]
0005277,[ 48676.]
0005278,[ 59450.]
0005279,[ 71774.]
0005280,[ 95074.]
0005281,[ 80417.]
0005282,[ 106150.]
0005283,[ 108333.]
0005284,[ 88182.]
0005285,[ 102460.]
0005286,[ 74583.]
0005287,[ 96563.]
0005288,[ 80556.]
0005289,[ 64868.]
0005290,[ 88912.]
0005291,[ 17813.]
0005292,[ 73295.]
0005293,[ 70734.]
0005294,[ 61250.]
0005295,[ 53021.]
0005296,[ 51738.]
0005297,[ 51578.]
0005298,[ 59676.]
0005299,[ 62250.]
0005300,[ 43806.]
0005301,[ 92368.]
0005302,[ 51066.]
0005303,[ 94286.]
0005304,[ 55565.]
0005305,[ 123347.]
0005306,[ 37060.]
0005307,[ 109313.]
0005308,[ 54856.]
0005309,[ 36575.]
0005310,[ 36763.]
0005311,[ 35307.]
0005312,[ 86583.]
0005313,[ 34375.]
0005314,[ 92833.]
0005315,[ 39638.]
0005316,[ 44276.]
0005317,[ 50756.]
0005318,[ 34274.]
0005319,[ 17284.]
0005320,[-1.]
0005321,[ 39762.]
0005322,[ 30795.]
0005323,[ 36866.]
0005324,[ 50147.]
0005325,[ 41122.]
0005326,[ 35613.]
0005327,[ 27554.]
0005328,[ 43198.]
0005329,[ 45104.]
0005330,[ 27041.]
0005331,[ 29974.]
0005332,[ 32917.]
0005333,[ 35288.]
0005334,[ 27679.]
0005335,[ 39297.]
0005336,[ 27267.]
0005337,[ 64856.]
0005338,[ 35735.]
0005339,[ 72109.]
0005340,[ 21711.]
0005341,[ 66688.]
