ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
B057-03,Ps 278 Plgd,3/13/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,,Unacceptable,,,Acceptable
B057-04,Lenape  Playground,9/12/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,,Unacceptable,,,Acceptable
B057-05,Dr John's Plgd,2/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Not Rated,,,Not Rated,Acceptable,Not Rated,,,Not Rated
B057-06,Seba Playground,12/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Acceptable,Not Rated,Not Rated,
B057-G01,Marine Park Golf Course,11/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B057-ZN01,Marine Park Zone 1,8/19/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B057-ZN02,Marine Park Zone 2,12/24/2013,Unacceptable,Unacceptable,Unacceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B057-ZN03,Marine Park Zone 3,12/24/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
B057-ZN04,Marine Park Zone 4,12/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,
B057-ZN05,Marine Park Zone 5,1/16/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B057-ZN06,Marine Park Zone 6,2/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B057-ZN07,"Marine Park Zone 7, Gerritsen Ballfields",9/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B058-01,Vincent V Abate Plgd,3/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B058-ZN01,Mccarren Park Zone 1,12/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
B058-ZN02,Mccarren Park Zone 2,3/6/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,,Acceptable,,Acceptable,,,,Acceptable,Acceptable,,,Acceptable
B058-ZN03,Mccarren Park Zone 3,11/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,Acceptable,,,,Acceptable,Acceptable,,,Acceptable
B058-ZN04,Mccarren Park Zone 4,1/9/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
B058-ZN05,Mccarren Park Zone 5,7/17/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Unacceptable
