ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
Q300A-ZN02,Kissena Corridor East Zone 2,10/4/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q300A-ZN03,Kissena Corridor East Zone 3,1/8/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q300A-ZN04,Kissena Corridor East Zone 4,8/5/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Unacceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q300A1,Holy Cow Playground,4/14/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Unacceptable,
Q301,Jamaica Playground,11/6/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,
Q302,Evergreen Park,11/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,Acceptable,,,,Acceptable,Acceptable,,,Acceptable
Q303,Travers Park,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,,,Acceptable
Q304,Ehrenreich-Austin Playground,2/5/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,,Not Rated
Q305,Mafera Park,7/29/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
Q306,The Painter's Playground,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q307,Delphin H. Greene Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q308,Bowne Playground,2/7/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Not Rated,,,Acceptable
Q310,Glen Oaks Oval,8/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q313,Arverne Playground,2/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q314,Fresh Meadows Playground,8/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q316,Captain Dermody Triangle,12/4/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable
Q317,Tall Oak Playground,12/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q318,Playground Eighty LXXX,12/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Unacceptable,Acceptable
Q319,Annadale Playground,1/13/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q320,Vleigh Playground,1/27/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,
Q321,Van Alst Playground,9/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,
Q322,Bellaire Playground,4/18/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
Q325,Gladys Warren Triangle,10/28/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,,
Q326,Bland Playground,2/5/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
Q327,Castlewood Playground,8/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q328,Bellerose Playground,11/6/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Unacceptable,Unacceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
Q329,Pomonok Playground,3/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q330,Locust Manor Playground,10/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q332,Woodtree Playground,4/4/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Acceptable
Q333,Ravenswood Playground,11/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Acceptable
Q334,Playground Twenty One,4/7/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q335,Russell Sage Playground,10/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable
Q336,Judge Moses Weinstein Playground,4/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q337,Maurice A Fitzgerald Playground,10/21/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q338,Admiral Park,3/24/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
Q339,Cambria Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Unacceptable,Acceptable
Q340,Torsney Playground,4/28/2014,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
Q341B,LATHAM PARK,1/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
Q341C,Sherry Dog Run,7/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
Q341D,SPARGO PARK,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q341E,Crosson Green,9/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q341F,Winfield Plaza,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q342,Electric Playground,9/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q343,Whitestone Playground,1/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,,Acceptable,Not Rated,Acceptable,,Not Rated
Q344,Emerald Playground,9/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Unacceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q345,Redfern Playground,2/5/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Not Rated,,,,,Not Rated,Acceptable,Not Rated,,,Not Rated
Q346,Challenge Playground,8/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,,,Acceptable
Q347,Colden Playground,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q348,Willow Lake Playground,11/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q349,Telephone Playground,1/27/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q351,Peters Field,8/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q352,Hillside Park,2/18/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Acceptable
Q353,Grassmere Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q354,Playground Seventy Five,4/9/2014,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q355,Strippoli Square,12/2/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q356,Alley Park,1/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,
Q357B,Real Good Park,8/5/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Unacceptable,Acceptable,Unacceptable,Acceptable,
Q357B01,Barrier Playground,2/19/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
Q357G,Turtle Playground,9/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable
Q357I,Nassau Mall,4/23/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,
Q357J,Nassau Mall South,12/24/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,
Q358,Detective William T. Gunn Park,7/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,
Q359,Haggerty Park,12/24/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Unacceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q360E,Hull Triangle,8/7/2013,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,
Q360F,Technical Sergeant Thomas J. Davey Triangle,4/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q360G,Whitefish Triangle,11/14/2013,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,
Q360H,Peter Charles Park,1/23/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,Not Rated,,Acceptable
Q360J,Crowley Playground,8/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Acceptable,,Acceptable,,,Acceptable,Acceptable,Unacceptable,Acceptable,,
Q360M,Frontera Park,12/24/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable
Q360N,Hoffman Park,8/16/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Unacceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,
Q360Q,Sitting Area 127 CXXVII,4/23/2014,Unacceptable,Acceptable,Acceptable,Unacceptable,Not Rated,Acceptable,,Acceptable,Unacceptable,,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
Q360R,Sitting Area,12/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q360S,Quick Brown Fox Triangle,4/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q360T,Sitting Area,11/14/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,,
Q360U,Bridge and Tunnel Park,11/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q361,Moore Homestead Playground,3/17/2014,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,,Acceptable,,Acceptable,,,,,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q362,Playground Ninety,9/6/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Unacceptable,Acceptable,Unacceptable,Acceptable,Acceptable
Q363,Northern Playground,3/31/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
Q364,Marie Curie Park,10/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
Q366,Bulova Park,12/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q367,Hammel Playground,1/22/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,,Not Rated,Acceptable,,Acceptable
Q369,Louis Pasteur Park,8/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,,Acceptable,,,,,Acceptable,,Acceptable,Acceptable,,Acceptable
Q370,Freedom Square Playground,12/4/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable
Q371,Rockaway Community Park,11/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
Q371-01,Rockaway Community Playground,1/22/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Acceptable
Q373,East Elmhurst Playground,1/13/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q375,Willets Point Playground,7/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q376,Cedar Grove Playground,2/5/2014,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,,Not Rated,,,,,,,,,,,,
Q377,Playground Sixty Two LXII,7/29/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q378,Ampere Playground,1/9/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q379,Briarwood Playground,7/15/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,Unacceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable
Q381,Francis Lewis Playground,2/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,,,Acceptable
Q382,Cardozo Playground,8/23/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q383,Middle Village Veterans Triangle,12/6/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,Acceptable,,Acceptable,,,Acceptable
Q385,Ditmars Park,1/21/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,,,Not Rated
Q386,Centreville Playground,7/15/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q387A,Bayside Fields,2/5/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
Q387B,Clearview Park,8/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q387D,Clearview's Tail,4/4/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q388,Linnaeus Park,1/9/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q389,Bayside Playground,8/9/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,Acceptable,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q390,Clintonville Playground,3/31/2014,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,,,Not Rated
Q391,Joseph Austin Playground,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q392,Idlewild Park,3/6/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q393A,LaGuardia Landing Lights,9/11/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Acceptable,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q393C,LaGuardia Landing Lights,2/14/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
Q393D,LaGuardia Landing Lights,8/13/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Unacceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q393E,LaGuardia Landing Lights,2/28/2014,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q393F,LaGuardia Landing Lights,8/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q393G,Laguardia Landing Lights,4/28/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,Acceptable,,Acceptable,Acceptable,Unacceptable,Unacceptable,Unacceptable,Acceptable
Q393H,LaGuardia Landing Lights,4/1/2014,Unacceptable,Unacceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,Acceptable,,Acceptable,Unacceptable,Unacceptable,Unacceptable,Acceptable,Acceptable
Q393I,Planeview Park,10/22/2013,Unacceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable,Unacceptable,,,Unacceptable,,Acceptable,Acceptable,Unacceptable,Acceptable,Unacceptable,Acceptable
Q394,Conch Playground,1/27/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,Not Rated,,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable
Q395,Steinway Playground,8/5/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q396,Montbellier Park,12/10/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q397,Auburndale Playground,2/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q398,Rosemary's Playground,8/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,,Acceptable,Acceptable,,,Acceptable
Q399,Bay Terrace Playground,2/19/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,Not Rated,,,Acceptable,Acceptable,Not Rated,,,Acceptable
Q400,Oakland Gardens,3/25/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q401,Lost Battalion Hall Recreation Center,10/9/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q402,Latimer Playground,11/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
Q403,Beach Channel Playground,2/7/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Unacceptable,Not Rated,Unacceptable,,,,,Not Rated,Unacceptable,Not Rated,Acceptable,Not Rated,Acceptable
Q404,East Springfield Playground,8/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
Q405,Hollis Playground,1/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Not Rated,Acceptable,Not Rated,Not Rated,Not Rated,Not Rated
Q406,Springfield Park North,11/20/2013,Acceptable,Acceptable,Acceptable,Acceptable,Not Rated,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
Q407,Lannett Playground,4/3/2014,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
Q408,Harold Schneiderman Playground,10/16/2013,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable,Acceptable
Q410,Hinton Park,3/26/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Acceptable,,,,,Not Rated,Acceptable,Acceptable,Not Rated,Not Rated,Acceptable
Q411-G01,Park Golf Course,10/21/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Not Rated,Acceptable,,,,,Acceptable,Acceptable,Not Rated,Not Rated,Not Rated,Acceptable
Q412,Railroad Park,1/3/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,Acceptable,,,,,Acceptable,Acceptable,Not Rated,Acceptable,Not Rated,Acceptable
